Prefix,Vessel Name,Engine serial no,Engine Brand,Engine model,Status,Compatible,Non Conclusive Follow Up,Engine shaft power,Engine Type,Engine Mounting,Engine Fuel Used,GT,Length,Breadth,Depth,Dead Weight,Year Built,Owner Name
,84 DIVERS 1,73015550,CUMMINS,,Up to B20,Incompatible,,321.0, ,Inboard,Diesel,29,12.9,4.4,1.8,,1994.0,84 DIVERS PTE LTD
ST,A CRYSTAL,372311,CUMMINS,,Up to B20,Incompatible,,448.0, ,Inboard,Diesel,137,22.0,7.3,3.1,,2008.0,CRYSTAL MARITIME PTE LTD
ST,A RUBY,37250105,CUMMINS,,Up to B20,Incompatible,,447.0, ,Inboard,Diesel,145,21.9,7.3,3.2,,2010.0,ORION LOGISTICS PTE LTD
ST,ABADI 5,REA02316,CATERPILLAR,,Up to B100. dealer consultation required,Compatible,,0.0,Motor,Inboard,Diesel,182,23.3,8.1,3.6,,2005.0,CAPITOL SHIPPING PTE LTD
ST,ABADI 6,P:02337,CATERPILLAR,,Up to B100. dealer consultation required,Compatible,,632.0, ,Inboard,Diesel,248,24.2,8.5,3.8,0.0,2005.0,CAPITOL OFFSHORE PTE LTD
ST,ABADI 8,P:REA02340,CATERPILLAR,,Up to B100. dealer consultation required,Compatible,,632.0, ,Inboard,Diesel,248,24.5,8.6,3.8,,2005.0,CAPITOL OFFSHORE PTE LTD
,ABADI 9,P:REA02576,CATERPILLAR,,Up to B100. dealer consultation required,Compatible,,632.0, ,Inboard,Diesel,230,24.5,8.6,3.8,,2007.0,LIGHTMODE PTE LTD
SC,ABOARD 1,,,,,Unknown,Not Conclusive,,,,,30,16.0,4.3,1.5,,2015.0,ABOARD FERRY PTE LTD
,ACHIEVE,G9161000089,SHANGHAI DIESEL,SC15G300CA2,Up to B30,Incompatible,,193.0,Motor,Inboard,Gas Oil,27,13.0,3.9,1.9,,2021.0,SINO TANKERS PTE LTD
SR,ACHIEVER I,60M11403,CATERPILLAR,3412C,Up to B100. dealer consultation required,Compatible,,538.0,Motor,Inboard,Diesel,229,25.0,11.0,3.3,,2007.0,SGS SINGAPORE DIVING PTE LTD
SR,AK 10,11994525,CUMMINS,,Up to B20,Incompatible,,298.0,Motor,Inboard,Diesel,58,17.7,4.8,2.4,,2009.0,ANTARA KOH PTE LTD
SC,AKM 1,12PC1-917842,ISUZU,,,Unknown,Not Conclusive,250.0, ,Inboard,Diesel,38,15.3,4.3,2.0,,2011.0,ANG KOK MENG LAUNCH SERVICE PTE LTD
